date,time,amazonID,exp_condition,isLeftRisky,indivOrGroup,riskDistributionId,groupSize,room,confirmationID,subjectNumber,round,behaviouralType,choice,num_choice,didShare,info_share_cost,payoff,totalEarning,socialFreq_safe1,socialFreq_safe2,socialFreq_safe3,socialFreq_risky,timeElapsed,latency,socialInfo_00,socialInfo_01,socialInfo_02,socialInfo_03,socialInfo_04,socialInfo_05,socialInfo_06,socialInfo_07,socialInfo_08,socialInfo_09,socialInfo_10,socialInfo_11,publicInfo_00,publicInfo_01,publicInfo_02,publicInfo_03,publicInfo_04,publicInfo_05,publicInfo_06,publicInfo_07,publicInfo_08,publicInfo_09,publicInfo_10,publicInfo_11
2021-1-22,16:59:20,INHOUSETEST3,binary_4ab,false,1,13,2,WpyxqtL_session_0,obbYpbcnvuE85r98AAAA,1,1,choice,risky,,,,50,50,,,,,7021,0,-1,-1,-1,-1,,,,,,,,,-1,-1,-1,-1,,,,,,,,
2021-1-22,16:59:22,INHOUSETEST3,binary_4ab,false,1,13,2,WpyxqtL_session_0,lSic57D8sl2r9hzPAAAB,2,1,choice,sure2,,,,148,148,,,,,8514,0,-1,-1,-1,-1,,,,,,,,,-1,-1,-1,-1,,,,,,,,
2021-1-22,16:59:24,INHOUSETEST3,binary_4ab,false,1,,2,WpyxqtL_session_0,lSic57D8sl2r9hzPAAAB,2,1,info-sharing,,2,0,47,148,,,,,,10603,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-1-22,16:59:25,INHOUSETEST3,binary_4ab,false,1,,2,WpyxqtL_session_0,obbYpbcnvuE85r98AAAA,1,1,info-sharing,,3,0,29,50,,,,,,11696,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-1-22,16:59:27,INHOUSETEST3,binary_4ab,false,1,13,2,WpyxqtL_session_0,obbYpbcnvuE85r98AAAA,1,2,choice,sure2,,,,147,197,0,1,0,1,14227,0,risky,sure2,,,,,,,,,,,50,148,,,,,,,,,,
2021-1-22,16:59:29,INHOUSETEST3,binary_4ab,false,1,,2,WpyxqtL_session_0,obbYpbcnvuE85r98AAAA,1,2,info-sharing,,2,1,27,147,,0,1,0,1,16001,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-1-22,16:59:30,INHOUSETEST3,binary_4ab,false,1,13,2,WpyxqtL_session_0,lSic57D8sl2r9hzPAAAB,2,2,choice,sure1,,,,183,331,0,1,0,1,17218,0,risky,sure2,,,,,,,,,,,50,148,,,,,,,,,,
2021-1-22,16:59:32,INHOUSETEST3,binary_4ab,false,1,,2,WpyxqtL_session_0,lSic57D8sl2r9hzPAAAB,2,2,info-sharing,,4,0,56,183,,0,1,0,1,19403,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-1-22,16:59:35,INHOUSETEST3,binary_4ab,false,1,13,2,WpyxqtL_session_0,obbYpbcnvuE85r98AAAA,1,3,choice,sure3,,,,129,299,1,1,0,0,22289,0,sure2,sure1,,,,,,,,,,,147,183,,,,,,,,,,
2021-1-22,16:59:39,INHOUSETEST3,binary_4ab,false,1,13,2,WpyxqtL_session_0,lSic57D8sl2r9hzPAAAB,2,3,choice,risky,,,,50,381,1,1,0,0,25722,0,sure2,sure1,,,,,,,,,,,147,183,,,,,,,,,,
2021-1-22,16:59:37,INHOUSETEST3,binary_4ab,false,1,,2,WpyxqtL_session_0,obbYpbcnvuE85r98AAAA,1,3,info-sharing,,1,1,39,129,,1,1,0,0,24142,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-1-22,16:59:40,INHOUSETEST3,binary_4ab,false,1,,2,WpyxqtL_session_0,lSic57D8sl2r9hzPAAAB,2,3,info-sharing,,3,0,3,50,,1,1,0,0,27423,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-1-22,16:59:42,INHOUSETEST3,binary_4ab,false,1,13,2,WpyxqtL_session_0,obbYpbcnvuE85r98AAAA,1,4,choice,sure1,,,,197,457,0,0,1,1,28630,0,sure3,risky,,,,,,,,,,,129,50,,,,,,,,,,
2021-1-22,16:59:44,INHOUSETEST3,binary_4ab,false,1,13,2,WpyxqtL_session_0,lSic57D8sl2r9hzPAAAB,2,4,choice,sure1,,,,191,572,0,0,1,1,31415,0,sure3,risky,,,,,,,,,,,129,50,,,,,,,,,,
2021-1-22,16:59:46,INHOUSETEST3,binary_4ab,false,1,,2,WpyxqtL_session_0,lSic57D8sl2r9hzPAAAB,2,4,info-sharing,,4,1,48,191,,0,0,1,1,33063,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-1-22,16:59:48,INHOUSETEST3,binary_4ab,false,1,,2,WpyxqtL_session_0,obbYpbcnvuE85r98AAAA,1,4,info-sharing,,4,1,40,197,,0,0,1,1,34633,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-1-22,16:59:53,INHOUSETEST3,binary_4ab,false,1,13,2,WpyxqtL_session_0,lSic57D8sl2r9hzPAAAB,2,5,choice,risky,,,,45,569,2,0,0,0,39977,0,sure1,sure1,,,,,,,,,,,197,191,,,,,,,,,,
2021-1-22,16:59:56,INHOUSETEST3,binary_4ab,false,1,,2,WpyxqtL_session_0,lSic57D8sl2r9hzPAAAB,2,5,info-sharing,,3,1,67,45,,2,0,0,0,42659,0,,,,,,,,,,,,,,,,,,,,,,,,
2021-1-22,16:59:57,INHOUSETEST3,binary_4ab,false,1,13,2,WpyxqtL_session_0,obbYpbcnvuE85r98AAAA,1,5,choice,risky,,,,52,469,2,0,0,0,43897,0,sure1,sure1,,,,,,,,,,,197,191,,,,,,,,,,
