date,time,amazonID,exp_condition,isLeftRisky,indivOrGroup,groupSize,room,confirmationID,subjectNumber,round,gameRound,gameType,behaviouralType,choice,num_choice,payoff,didShare,info_share_cost,totalEarning,timeElapsed,latency
2021-5-1,7:46:49,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,ZHj2T7rkOjo0hvJWAAAC,1,1,0,2,choice,risky,,43,,,43,7383,0
2021-5-1,7:46:56,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,ZHj2T7rkOjo0hvJWAAAC,1,1,0,2,info-sharing,,1,43,1,54,-11,14775,0
2021-5-1,7:47:4,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,9Rr0k2nXBrgh2I-sAAAD,2,1,0,2,choice,miss,,0,,,0,22810,0
2021-5-1,7:47:6,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,9Rr0k2nXBrgh2I-sAAAD,2,1,0,2,info-sharing,,-1,0,0,53,0,24358,0
2021-5-1,7:47:22,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,ZHj2T7rkOjo0hvJWAAAC,1,2,0,2,choice,miss,,0,,,-11,40350,0
2021-5-1,7:47:22,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,9Rr0k2nXBrgh2I-sAAAD,2,2,0,2,choice,miss,,0,,,0,40667,0
2021-5-1,7:47:24,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,ZHj2T7rkOjo0hvJWAAAC,1,2,0,2,info-sharing,,-1,0,0,75,0,41896,0
2021-5-1,7:47:30,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,9Rr0k2nXBrgh2I-sAAAD,2,3,0,2,info-sharing,,1,47,1,98,-51,48516,0
2021-5-1,7:47:24,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,9Rr0k2nXBrgh2I-sAAAD,2,2,0,2,info-sharing,,-1,0,0,72,0,42214,0
2021-5-1,7:47:26,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,ZHj2T7rkOjo0hvJWAAAC,1,3,0,2,choice,risky,,34,,,23,44216,0
2021-5-1,7:47:27,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,9Rr0k2nXBrgh2I-sAAAD,2,3,0,2,choice,risky,,47,,,47,45543,0
2021-5-1,7:47:32,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,ZHj2T7rkOjo0hvJWAAAC,1,3,0,2,info-sharing,,1,34,0,82,34,49887,0
2021-5-1,7:47:34,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,ZHj2T7rkOjo0hvJWAAAC,1,4,0,2,choice,risky,,36,,,59,51835,0
2021-5-1,7:47:35,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,ZHj2T7rkOjo0hvJWAAAC,1,4,0,2,info-sharing,,1,36,0,87,36,53382,0
2021-5-1,7:47:35,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,9Rr0k2nXBrgh2I-sAAAD,2,4,0,2,choice,risky,,50,,,-1,53747,0
2021-5-1,7:47:48,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,ZHj2T7rkOjo0hvJWAAAC,1,1,1,4,choice,risky,,169,,,192,9425,0
2021-5-1,7:47:37,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,9Rr0k2nXBrgh2I-sAAAD,2,4,0,2,info-sharing,,1,50,0,1,50,55305,0
2021-5-1,7:47:46,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,9Rr0k2nXBrgh2I-sAAAD,2,1,1,4,choice,sure,,130,,,79,7514,0
2021-5-1,7:47:50,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,ZHj2T7rkOjo0hvJWAAAC,1,1,1,4,info-sharing,,1,169,0,49,169,10993,0
2021-5-1,7:47:51,INHOUSETEST3,binary,true,1,2,eoBjtGJ_session_1,9Rr0k2nXBrgh2I-sAAAD,2,1,1,4,info-sharing,,2,130,0,12,130,11935,0
