date,time,amazonID,exp_condition,isLeftRisky,indivOrGroup,groupSize,room,confirmationID,subjectNumber,round,gameRound,gameType,behaviouralType,choice,num_choice,payoff,didShare,info_share_cost,totalEarning,timeElapsed,latency
2021-6-7,13:53:35,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,56LoltPnnqqkVRYFAAAB,1,1,0,1,choice,risky,,602,,,602,8542,0
2021-6-7,13:53:36,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,QBBYW5TtGQZnAuBTAAAC,2,1,0,1,choice,risky,,56,,,56,10244,0
2021-6-7,13:53:55,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,QBBYW5TtGQZnAuBTAAAC,2,3,0,1,choice,risky,,24,,,229,28568,0
2021-6-7,13:53:52,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,56LoltPnnqqkVRYFAAAB,1,2,0,1,info-sharing,,1,146,0,69,146,25947,0
2021-6-7,13:53:46,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,56LoltPnnqqkVRYFAAAB,1,2,0,1,choice,sure,,146,,,730,20399,0
2021-6-7,13:53:51,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,QBBYW5TtGQZnAuBTAAAC,2,2,0,1,info-sharing,,1,149,0,43,149,24864,0
2021-6-7,13:53:39,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,56LoltPnnqqkVRYFAAAB,1,1,0,1,info-sharing,,2,602,1,18,584,13165,0
2021-6-7,13:53:48,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,QBBYW5TtGQZnAuBTAAAC,2,2,0,1,choice,sure,,149,,,205,22346,0
2021-6-7,13:53:53,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,56LoltPnnqqkVRYFAAAB,1,3,0,1,choice,risky,,47,,,777,27071,0
2021-6-7,13:53:38,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,QBBYW5TtGQZnAuBTAAAC,2,1,0,1,info-sharing,,2,56,0,22,56,12176,0
2021-6-7,13:53:57,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,QBBYW5TtGQZnAuBTAAAC,2,3,0,1,info-sharing,,2,24,0,4,24,30502,0
2021-6-7,13:53:57,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,56LoltPnnqqkVRYFAAAB,1,3,0,1,info-sharing,,2,47,0,83,47,31470,0
2021-6-7,13:53:59,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,56LoltPnnqqkVRYFAAAB,1,4,0,1,choice,sure,,143,,,920,32706,0
2021-6-7,13:54:0,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,QBBYW5TtGQZnAuBTAAAC,2,4,0,1,choice,sure,,154,,,383,34238,0
2021-6-7,13:54:0,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,56LoltPnnqqkVRYFAAAB,1,4,0,1,info-sharing,,1,143,0,76,143,34242,0
2021-6-7,13:54:2,INHOUSETEST3,binary,true,1,2,nKSsNMn_session_2,QBBYW5TtGQZnAuBTAAAC,2,4,0,1,info-sharing,,1,154,0,5,154,35773,0
2021-6-7,13:54:12,INHOUSETEST3,binary,true,1,1,nKSsNMn_session_2,QBBYW5TtGQZnAuBTAAAC,2,1,1,4,choice,risky,,162,,,391,7222,0
2021-6-9,9:46:23,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,1,0,4,choice,risky,,189,,,189,10868,0
2021-6-9,9:46:25,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,o0qfyebHbHWsmistAAAx,1,1,0,4,info-sharing,,1,189,1,86,103,13271,0
2021-6-9,9:46:27,INHOUSETEST3,binary,false,1,2,TassdPY_session_26,20RkcHeMXedtqoyuAAAy,2,1,0,4,choice,sure,,157,,,157,15161,0
